kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403839","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,5130561
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",12/01/2024,200000
"440013","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",19/01/2024,300000
"427551","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",05/02/2024,201313
"427618","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",16/01/2024,736000
"634146","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",01/02/2024,500000
"237373","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",10/01/2024,214000
"237373","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/03/2024,650312
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",03/01/2024,107712
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",15/02/2024,900000
"239260","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",05/02/2024,18000000
"652009","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,1149700
"427618","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",23/01/2024,713932
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/02/2024,300000
"238762","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",05/01/2024,875635
"239188","032","03212","424919","0000000","0000","000","0","F","0","00000001","0000","2",06/02/2024,12930000
"238741","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",03/01/2024,14400000
"238741","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",15/01/2024,494000
"626402","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",12/01/2024,457500
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",29/01/2024,6525000
"427618","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",10/01/2024,103788
"634146","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,4151840
"634146","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",30/01/2024,9120000
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",29/01/2024,800000
"239188","032","03212","424911","0000000","0000","000","0","F","0","00000001","0000","2",06/02/2024,11443039
"239188","032","03212","424123","0000000","0000","000","0","F","0","00000001","0000","2",06/02/2024,1800000
"440013","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",19/01/2024,159995000
"239260","032","03212","425621","0000000","0000","000","0","D","0","00000001","0000","2",02/02/2024,250000
"403823","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,1362500
"403823","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,325213
"653526","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,1661550
