kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"653526","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0211","2",01/02/2024,139514300
"403832","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","0211","2",20/02/2024,4058000
"403830","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0258","2",01/02/2024,1470000
"403829","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","0252","2",01/02/2024,4415000
"403829","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0252","2",20/02/2024,39975840
"403829","032","03212","521213","03212DL","2375","QDD","2","A","0","00000001","0252","2",21/02/2024,20800000
"403830","032","03212","511628","03212WA","2378","EBA","2","A","0","00000001","0258","2",16/02/2024,814000
"403829","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","0252","2",15/02/2024,201137200
"403829","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0252","2",15/02/2024,12963180
"403829","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0252","2",01/01/2024,15760388
"403829","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","0252","2",01/01/2024,9840000
"403829","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","0252","2",15/01/2024,560550
"403829","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","0252","2",11/01/2024,608800
"403829","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0252","2",10/01/2024,22
"403829","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","0252","2",13/02/2024,739300
"403879","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0222","2",16/02/2024,651000
"403879","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","0222","2",01/01/2024,1895000
"403834","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0401","2",01/01/2024,4231300
"403826","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","2251","2",01/02/2024,735000
"403826","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","2251","2",16/02/2024,423200
"403826","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","2251","2",16/02/2024,42320
"403826","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","2251","2",15/02/2024,9175166
"403838","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","2451","2",01/02/2024,296650
"403838","032","03212","524113","03212WA","2378","EBA","2","A","0","00000001","2451","2",13/02/2024,600000
"403838","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","2451","2",01/02/2024,1670000
"403838","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","2451","2",01/01/2024,1670000
"403839","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","1905","2",09/01/2024,22446416
"403839","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","1905","2",01/01/2024,17598060
"403839","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","1905","2",01/01/2024,7410000
