kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"239188","032","03212","522151","03212DL","2375","QDD","2","A","0","00000001","0354","2",19200000
"239188","032","03212","521832","03212WA","2378","EBA","2","A","0","00000001","0354","2",12000000
"239188","032","03212","521219","03212WA","2378","EBA","2","A","0","00000001","0354","2",71080000
"403875","032","03212","521811","03212DL","2376","SAC","2","A","0","00000001","0953","2",415800000
"403875","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0953","2",28000
"403875","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","0953","2",4676000
"403875","032","03212","521115","03212WA","2378","EBD","2","A","0","00000001","0953","2",3000000
"403875","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","0953","2",10500000
"403875","032","03212","521813","03212WA","2378","EBA","2","A","0","00000001","0953","2",3000000
"403875","032","03212","524113","03212DL","2376","SAC","2","A","0","00000001","0953","2",24600000
"403875","032","03212","512414","03212WA","2378","EBA","2","A","0","00000001","0953","2",224000000
"403875","032","03212","522141","03212DL","2376","QDD","2","A","0","00000001","0953","2",2000000
"403875","032","03212","532111","03212DL","2376","RAN","2","D","0","00000001","0953","2",71410000
"238741","032","03212","533121","03212DL","2375","RBQ","2","A","0","00000001","0751","2",150000000
"238741","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","0751","2",75000
"238741","032","03212","521811","03212WA","2378","EBD","2","A","0","00000001","0751","2",12000000
"238741","032","03212","522141","03212DL","2375","SCC","2","A","0","00000001","0751","2",293500000
"238741","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0751","2",885521000
"238741","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0751","2",14927320000
"238741","032","03212","511628","03212WA","2378","EBA","2","A","0","00000001","0751","2",631652000
"238741","032","03212","522191","03212DL","2375","SCC","2","D","0","00000001","0751","2",17600000
"238741","032","03212","521211","03212WA","2378","EBD","2","A","0","00000001","0751","2",6002000
"238741","032","03212","521213","03212WA","2378","EBA","2","A","0","00000001","0751","2",1000000
"238741","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","0751","2",12000000
"238741","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0751","2",24311171000
"403827","032","03212","521211","03212WA","2378","EBD","2","A","0","00000001","2201","2",2000000
"403827","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","2201","2",149640000
"440013","032","03212","522141","03212WA","2378","EBA","2","A","0","00000001","2202","2",66000000
"440013","032","03212","521112","03212DL","2376","SAC","2","A","0","00000001","2202","2",2081542000
"440013","032","03212","521219","03212DL","2376","SAC","2","A","0","00000001","2202","2",1735305000
"403827","032","03212","521213","03212WA","2378","EBA","2","A","0","00000001","2201","2",8160000
"403827","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","2201","2",54600000
"440013","032","03212","522191","03212DL","2376","SAC","2","A","0","00000001","2202","2",10000000
"440013","032","03212","533111","03212DL","2376","RBJ","2","D","0","00000001","2202","2",150000000
"440013","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","2202","2",2160000000
"440013","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","2202","2",21000000
"403828","032","03212","522141","03212WA","2378","EBA","2","A","0","00000001","1907","2",94200000
"403828","032","03212","521219","03212DL","2375","QDD","2","A","0","00000001","1907","2",4111811000
"403828","032","03212","522151","03212WA","2378","EBA","2","A","0","00000001","1907","2",5200000
"403828","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","1907","2",4242744000
"403828","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","1907","2",1154958000
"622035","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0503","2",8180000
"622035","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0503","2",406717000
"622035","032","03212","521213","03212DL","2376","SAC","2","A","0","00000001","0503","2",352640000
